,year,records
0,1880,215.7474223873954
1,1881,212.83132889740742
2,1882,73.31930988648169
3,1883,69.10041710451993
4,1884,48.71105859830511
5,1885,75.85436504399523
6,1886,277.86202424380485
7,1887,162.70442622297188
8,1888,130.4847100004137
9,1889,227.50991523727902
10,1890,239.8303089318127
11,1891,108.27281857810753
12,1892,63.277530021747545
13,1893,146.1415057118338
14,1894,236.87960008463364
15,1895,365.8420620909237
16,1896,377.72139187919817
17,1897,304.9685084703422
18,1898,80.86486642397475
19,1899,286.4478890028686
20,1900,396.80967673227696
21,1901,402.9964821431629
22,1902,269.6997378677437
23,1903,73.65278663624804
24,1904,280.35997977120104
25,1905,192.52810042401947
26,1906,204.43946639060948
27,1907,637.2411815098975
28,1908,369.42465851703105
29,1909,307.67231468568417
30,1910,1024.5076642044469
31,1911,1216.7639170159734
32,1912,83.24291003866324
33,1913,387.82948339048755
34,1914,434.6126672551153
35,1915,364.0399342237357
36,1916,378.6376822430897
37,1917,611.4731886465654
38,1918,887.1554870696017
39,1919,389.79274751542624
40,1920,214.01989015117113
41,1921,936.6806859592643
42,1922,507.4437276714752
43,1923,248.37144638213096
44,1924,461.26708021897736
45,1925,1255.80250699941
46,1926,559.7898360457474
47,1927,921.9883058535522
48,1928,458.33275083252346
49,1929,542.8762681768313
50,1930,1186.2546294894516
51,1931,1587.3673258258236
52,1932,601.6732413437803
53,1933,1287.9447489542604
54,1934,2209.550366216907
55,1935,324.1790466374859
56,1936,2066.655158544974
57,1937,739.438756786569
58,1938,717.4930848763648
59,1939,1870.9070158104644
60,1940,648.2437453478773
61,1941,629.9985578108112
62,1942,475.7622557786723
63,1943,644.8003531080636
64,1944,586.4980798766416
65,1945,410.9956247146762
66,1946,636.7669183087382
67,1947,969.0485868936327
68,1948,635.2109422933008
69,1949,709.7724979943771
70,1950,1169.9699477712961
71,1951,514.5273274587433
72,1952,807.6367165887203
73,1953,1095.3712758794043
74,1954,971.707530254931
75,1955,627.717488095397
76,1956,662.0908523632498
77,1957,286.03541878451955
78,1958,499.58691669190927
79,1959,336.62553859818587
80,1960,307.62000640952147
81,1961,342.8992732783644
82,1962,650.5702591069052
83,1963,801.0174808001574
84,1964,210.7918695335101
85,1965,267.0576230229018
86,1966,260.25111001229175
87,1967,424.32640274363655
88,1968,138.34148844449314
89,1969,184.660940462067
90,1970,193.91355500176493
91,1971,356.5484889905015
92,1972,442.8313781604924
93,1973,174.33236263459784
94,1974,360.9038522873008
95,1975,173.148286110782
96,1976,314.50947528133537
97,1977,405.6138768884008
98,1978,154.93435254113743
99,1979,276.1977088426811
100,1980,953.2656436592573
101,1981,469.27519661448406
102,1982,196.93016358510843
103,1983,201.6585075843173
104,1984,333.9337164692788
105,1985,245.22871573911294
106,1986,756.0520865795582
107,1987,610.846042463325
108,1988,754.1596050693771
109,1989,1003.9012468908984
110,1990,816.3768235922777
111,1991,539.8778685835815
112,1992,540.2960889600655
113,1993,123.2698001346403
114,1994,411.4097886067655
115,1995,796.3237671731764
116,1996,926.2660558361009
117,1997,301.1551008442157
118,1998,1281.3603556318785
119,1999,1214.182545570593
120,2000,1454.5784617865904
121,2001,924.1082155567117
122,2002,1123.2470224922106
123,2003,1525.0488145367165
124,2004,504.112908416824
125,2005,1143.6087951726904
126,2006,1227.0798884799249
127,2007,1252.8183238551585
128,2008,763.6927890889388
129,2009,711.0398006718854
130,2010,910.2041049326529
131,2011,1643.7005330538852
132,2012,2207.663633629373
133,2013,658.9823752975614
134,2014,551.7232076368177
135,2015,1980.7428342327796
136,2016,1562.7600608358337
137,2017,1948.4367919061895
138,2018,1248.4364721738007
139,2019,851.5391488986547
140,2020,1739.5647263599276
